Date,Repository,URL,Stars,Tags,Description
2023-08-23,plotai,https://github.com/mljar/plotai,171,"🔠 🔨 ""Python""",PlotAI - Your Ultimate Plotting Assistant! 📊🤖 Use ChatGPT-3.5 to create plots in Python and Matplotlib directly in your Python script or notebook. 
2023-08-23,gpt-auto-tuner-web-ui,https://github.com/ryanxjhan/gpt-auto-tuner-web-ui,8,"🔠 🔨 ""Python""",Fine-tune GPT3.5 and chat with your trained model in a few clicks.
2023-08-22,PerroPastor,https://github.com/alvion427/PerroPastor,23,"🔠 🔨 ""C#""",Run Llama based LLMs in Unity entirely in compute shaders with no dependencies
2023-08-22,IT3D-text-to-3D,https://github.com/buaacyw/IT3D-text-to-3D,133,🚌 🧊,
2023-08-22,seamless-m4t-colab,https://github.com/camenduru/seamless-m4t-colab,98,🎵 📝,
2023-08-22,Awesome-AIGC-Tutorials,https://github.com/luban-agi/Awesome-AIGC-Tutorials,161,🔠 📝,"Awesome AIGC Tutorials houses a curated collection of tutorials and resources spanning across Large Language Models, AI Painting, and related fields."
2023-08-21,AutoAgents,https://github.com/LinkSoul-AI/AutoAgents,63,"🔠 🔨 ""Python""",Generate different roles for GPTs to form a collaborative entity for complex tasks.
2023-08-21,Qwen-VL,https://github.com/QwenLM/Qwen-VL,874,🔠 🖼️ 🚌,The official repo of Qwen-VL (通义千问-VL) chat & pretrained large vision language model proposed by Alibaba Cloud.
2023-08-21,papersnap,https://github.com/nhaouari/papersnap,42,🔠 📝,Extracting Key Information from Research Papers using PAPERSNAP prompt and Claude
2023-08-21,twinny,https://github.com/rjmacarthy/twinny,106,"🔠 🔨 ""TypeScript""","Locally hosted AI code completion plugin for vscode, like Github Copilot but 100% free and 100% private."
2023-08-20,lagent,https://github.com/InternLM/lagent,280,"🔠 🔨 ""Python""",A lightweight framework for building LLM-based agents
2023-08-20,shell-ai,https://github.com/ricklamers/shell-ai,743,"🔠 🔨 ""Python""",LangChain powered shell command generate and run CLI
2023-08-19,DiffusionTrack,https://github.com/RainBowLuoCS/DiffusionTrack,111,🖼️ ⛽ 2️⃣,
2023-08-19,chatmemory,https://github.com/uezo/chatmemory,26,"🔠 🔨 ""Python""",Long-term and medium-term memories with you and chatbot💕
2023-08-18,awesome-large-audio-models,https://github.com/EmulationAI/awesome-large-audio-models,101,🎵 📝,Collection of resources on the applications of Large Language Models (LLMs) in Audio AI.
2023-08-18,meru,https://github.com/facebookresearch/meru,72,🖼️ ⛽ 🚌 2️⃣,"Code for the paper ""Hyperbolic Image-Text Representations"", Desai et al, ICML 2023"
2023-08-18,Dataset_Quantization,https://github.com/magic-research/Dataset_Quantization,175,🔠 🖼️ ⛽ ❓,[ICCV2023] Dataset Quantization
2023-08-18,graph-of-thoughts,https://github.com/spcl/graph-of-thoughts,1002,"🔠 🔨 ""Python""","Official Implementation of ""Graph of Thoughts: Solving Elaborate Problems with Large Language Models"""
2023-08-17,llama-terminal-completion,https://github.com/adammpkins/llama-terminal-completion,68,"🔠 🔨 ""Python""","A Python application which interacts with the llama.cpp library to provide virtual assistant capabilities through the command line. It allows you to ask questions and receive intelligent responses, as well as generate Linux commands based on your prompts."
2023-08-17,sqlcoder,https://github.com/defog-ai/sqlcoder,1139,🔠 🚕,SoTA LLM for converting natural language questions to SQL queries
2023-08-17,facefusion,https://github.com/facefusion/facefusion,6029,"🖼️ 🔨 ""Python""",Next generation face swapper and enhancer
2023-08-17,AutoStartup,https://github.com/jawerty/AutoStartup,42,"🔠 🔨 ""Jupyter""",A LLama agent that builds startup ideas from your intutions (generates react codebases)
2023-08-17,wisdomInterrogatory,https://github.com/zhihaiLLM/wisdomInterrogatory,248,🔠 🚕 2️⃣,
2023-08-16,gpt-pilot,https://github.com/Pythagora-io/gpt-pilot,1950,"🔠 🔨 ""Python""",GPT Pilot can code out the entire app as you oversee the code being written
2023-08-16,KwaiYii,https://github.com/kwai/KwaiYii,155,🔠 🚌,「快意」大模型（KwaiYii） 是由快手AI团队从零到一独立自主研发的一系列大规模语言模型
2023-08-16,gpt-oracle-trainer,https://github.com/mshumer/gpt-oracle-trainer,296,🔠 2️⃣,Creating a chatbot that can accurately answer questions about a product or service's documentation
2023-08-16,modal_finetune_sql,https://github.com/run-llama/modal_finetune_sql,149,🔠 2️⃣,
2023-08-16,IP-Adapter,https://github.com/tencent-ailab/IP-Adapter,509,🖼️ 🚌,The image prompt adapter is designed to enable a pretrained text-to-image diffusion model to generate images with image prompt. 
2023-08-15,agentops,https://github.com/AgentOps-AI/agentops,78,🔠 ❓,Python SDK for agent evals and observability
2023-08-15,10x-React-Engineer,https://github.com/jawerty/10x-React-Engineer,71,"🔠 🔨 ""Jupyter""","With just Llama-2, generate full React codebases from a single prompt"
2023-08-15,opencopilot,https://github.com/opencopilotdev/opencopilot,363,"🔠 🔨 ""Python""",🕊️ Build and embed open-source AI Copilots into your product with ease
2023-08-15,CoDeF,https://github.com/qiuyu96/CoDeF,3645,🎥 ⛽ 🚌 2️⃣,Official PyTorch implementation of CoDeF: Content Deformation Fields for Temporally Consistent Video Processing
2023-08-14,AIVoiceChat,https://github.com/KoljaB/AIVoiceChat,48,"🎵 🔨 ""Python""",Low latency ai companion voice talk in 60 lines of code using faster_whisper and elevenlabs input streaming
2023-08-14,WanJuan1.0,https://github.com/opendatalab/WanJuan1.0,261,🔠 🖼️ 🎥 ⛽,万卷1.0多模态语料
2023-08-14,song-solver,https://github.com/przadka/song-solver,37,"🎵 🔨 ""Python""","A Python application that allows users to sing in front of their laptop's microphone, processes the recording using the Whisper API, and then leverages a Large Language Model (LLM) to recognize the song."
2023-08-14,pdf-chat-ai,https://github.com/rajeshdavidbabu/pdf-chat-ai,90,"🔠 🔨 ""TypeScript""",An AI powered Next.js app to chat with your PDF files and get a streamed response using Langchain and PineconeDB ✨🤖💻🗃️
2023-08-14,cat-town,https://github.com/ykhli/cat-town,84,"🔠 🔨 ""TypeScript""",A custom AI-town with cats. Based on https://github.com/a16z-infra/AI-town
2023-08-12,baby-llama2-chinese,https://github.com/DLLXW/baby-llama2-chinese,552,🔠 2️⃣,用于从头预训练+SFT一个小参数量的中文LLaMa2的仓库；24G单卡即可运行得到一个具备简单中文问答能力的chat-llama2.
2023-08-12,sd-webui-go,https://github.com/SpenserCai/sd-webui-go,181,"🖼️ 🔨 ""Go""","This is a Go language version of the SDK based on stable-diffusion-webui. In your code, you can directly use the API interfaces of stable-diffusion-webui through object-oriented operations, instead of dealing with cumbersome JSON.  Support extensions API !"
2023-08-12,whisper.api,https://github.com/innovatorved/whisper.api,727,"🎵 🔨 ""Python""",This project provides an API with user level access support to transcribe speech to text using a finetuned and processed Whisper ASR model.
2023-08-12,OpenCopilot,https://github.com/openchatai/OpenCopilot,1633,"🔠 🔨 ""Blade""",🤖 🔥 AI Copilot for your own SaaS product. Open source AI sidekick for everyone. 
2023-08-11,SQL-GPT,https://github.com/CL-lau/SQL-GPT,143,"🔠 🔨 ""Python""",Use ChatGPT to generate SQL and perform execution. Optimization and error correction of SQL is also possible.
2023-08-10,Taiwan-LLaMa,https://github.com/MiuLab/Taiwan-LLaMa,517,🔠 ⛽ 🚌 🀄,Traditional Mandarin LLMs for Taiwan
2023-08-10,CipherChat,https://github.com/RobustNLP/CipherChat,290,🔠 ❓,A framework to evaluate the generalization capability of safety alignment for LLMs
2023-08-10,langchain-js-realworld,https://github.com/amalshehu/langchain-js-realworld,144,"🔠 🔨 ""JavaScript""",Langchain realworld examples in JS
2023-08-10,deepeval,https://github.com/confident-ai/deepeval,266,🔠 💯 ❓,Unit Testing For LLMs
2023-08-10,book-by-ai,https://github.com/easychen/book-by-ai,189,"🔠 🔨 ""JavaScript""",Generate high-quality books with AI
2023-08-10,facechain,https://github.com/modelscope/facechain,4327,"🖼️ 🔨 ""Python""",FaceChain is a deep-learning toolchain for generating your Digital-Twin.
2023-08-09,FinanceChatGLM,https://github.com/RonaldJEN/FinanceChatGLM,132,"🔠 🔨 ""Jupyter""",SMP 2023 ChatGLM金融大模型挑战赛 60 分baseline思路介绍
2023-08-09,aiapi,https://github.com/easychen/aiapi,131,🔠 🔨,"A Claude-driven, OpenAI specification-compliant API, free"
2023-08-09,Fooocus,https://github.com/lllyasviel/Fooocus,9355,🖼️ 🔌,Focus on prompting and generating
2023-08-09,gpt-llm-trainer,https://github.com/mshumer/gpt-llm-trainer,2220,🔠 2️⃣,
2023-08-08,llama_embeddings_fastapi_service,https://github.com/Dicklesworthstone/llama_embeddings_fastapi_service,492,"🔠 🔨 ""Python""","The Llama2 Embedding Server is designed to facilitate and optimize the process of obtaining text embeddings using different LLMs via llama_cpp and langchain. To avoid wasting computation, these embeddings are cached in SQlite and retrieved if they have already been computed before."
2023-08-08,DriveLM,https://github.com/OpenDriveLab/DriveLM,111,❓,DriveLM: Drive on Language
2023-08-08,OpenMoE,https://github.com/XueFuzhao/OpenMoE,237,🔠 🚌,A family of open-sourced Mixture-of-Experts (MoE) Large Language Models
2023-08-08,cursive-py,https://github.com/meistrari/cursive-py,136,"🔠 🔨 ""Python""",✦ The intuitive python LLM framework
2023-08-08,attackgen,https://github.com/mrwadams/attackgen,169,"🔠 🔨 ""Python""",AttackGen is a cybersecurity incident response testing tool that leverages the power of large language models and the comprehensive MITRE ATT&CK framework. The tool generates tailored incident response scenarios based on user-selected threat actor groups and your organisation's details.
2023-08-08,xlang,https://github.com/xlang-ai/xlang,184,🔠 🔨,An open-source framework for building and evaluating language model agents via executable language grounding
2023-08-07,AIStudyAssistant,https://github.com/mhss1/AIStudyAssistant,35,"🔠 🔨 ""Kotlin""","AI chatbot, Lecture Summarizer, Essay Writer and Questions Generator."
2023-08-07,AgentSims,https://github.com/py499372727/AgentSims,368,🔠 💯,AgentSims is an easy-to-use infrastructure for researchers from all disciplines to test the specific capacities they are interested in.
2023-08-07,chat-with-youtube,https://github.com/xenova/chat-with-youtube,109,"🔠 🔨 ""JavaScript""",A browser extension that lets you chat with YouTube videos using Llama2-7b. Built using 🤗 Inference Endpoints and Vercel's AI SDK.
2023-08-06,Synapse_CoR,https://github.com/ProfSynapse/Synapse_CoR,288,🔠 🔨,your AI Avatar hailing from the chambers of Synaptic Labs.
2023-08-06,LLMStack,https://github.com/trypromptly/LLMStack,270,"🔠 🔨 ""Python""","No-code platform to build generative AI apps, chatbots and agents with your data"
2023-08-06,XVERSE-13B,https://github.com/xverse-ai/XVERSE-13B,459,🔠 🚌 💰 🀄,XVERSE-13B: A multilingual large language model developed by XVERSE Technology Inc.
2023-08-05,llama-from-scratch,https://github.com/bkitano/llama-from-scratch,230,🔠 📝,provide some tips from my experience implementing a paper.
2023-08-04,GPT-Synthesizer,https://github.com/RoboCoachTechnologies/GPT-Synthesizer,137,"🔠 🔨 ""Python""",Collaboratively build an entire code base for any project with the help of an AI
2023-08-04,AudioLDM2,https://github.com/haoheliu/AudioLDM2,1303,🔠 🎵 🚕,Text-to-Audio/Music Generation
2023-08-04,gdansk-ai,https://github.com/jmaczan/gdansk-ai,143,"🔠 🔨 ""TypeScript""","🦭 Full stack AI voice chatbot (speech-to-text, LLM, text-to-speech) with integrations to Auth0, OpenAI, Google Cloud and Stripe - Web App, Web API and AI API"
2023-08-04,humanscript,https://github.com/lukechilds/humanscript,206,"🔠 🔨 ""Shell""",A truly natural scripting language
2023-08-04,self-correction-llm-papers,https://github.com/teacherpeterpan/self-correction-llm-papers,116,🔠 📝,This is a collection of research papers for Self-Correcting Large Language Models with Automated Feedback. 
2023-08-03,cria,https://github.com/AmineDiro/cria,122,"🔠 🔨 ""Rust""",OpenAI compatible API for serving LLAMA-2 model
2023-08-03,all-seeing,https://github.com/OpenGVLab/all-seeing,239,🔠 🖼️ 🚌,"This is the official implementation of the paper ""The All-Seeing Project: Towards Panoptic Visual Recognition and Understanding of the Open World"""
2023-08-03,LLM-Agent-Survey,https://github.com/Paitesanshi/LLM-Agent-Survey,498,🔠 📝,
2023-08-03,Qwen-7B,https://github.com/QwenLM/Qwen-7B,3663,🔠 🚌,The official repo of Qwen-7B (通义千问-7B) chat & pretrained large language model proposed by Alibaba Cloud.
2023-08-03,sd-wav2lip-uhq,https://github.com/numz/sd-wav2lip-uhq,182,🖼️ 🔌,Wav2Lip UHQ extension for Automatic1111
2023-08-02,aiflows,https://github.com/epfl-dlab/aiflows,132,🔠 📝,"Framework for building structured interactions involving tools, AI systems and humans."
2023-08-02,agentflow,https://github.com/simonmesmith/agentflow,217,"🔠 🔨 ""Python""",Complex LLM Workflows from Simple JSON.
2023-08-01,QiaoBan,https://github.com/HIT-SCIR-SC/QiaoBan,75,🔠 ⛽ 🚕 2️⃣,这是一个巧板大模型的仓库，旨在构建一个面向儿童情感陪伴的大模型
2023-08-01,VisionCrafter,https://github.com/diStyApps/VisionCrafter,91,"🎥 🔨 ""Python""",Craft your visions
2023-08-01,LISA,https://github.com/dvlab-research/LISA,879,🔠 🖼️ ⛽ 🚌,"Project Page for ""LISA: Reasoning Segmentation via Large Language Model"""
2023-08-01,seamless_communication,https://github.com/facebookresearch/seamless_communication,4566,"🎵 🔨 ""Python""",Foundational Models for State-of-the-Art Speech and Text Translation
2023-08-01,langsmith-cookbook,https://github.com/langchain-ai/langsmith-cookbook,186,🔠 📝,"This repository stores code tutorials showing different ways to get more out of LangSmith. LangSmith is a platform that helps you debug, test, evaluate, and monitor your LLM applications."
2023-07-31,LLaSM,https://github.com/LinkSoul-AI/LLaSM,184,🔠 🎵 🚌 💰 🀄,第一个支持中英文双语语音-文本多模态对话的开源可商用对话模型。便捷的语音输入将大幅改善以文本为输入的大模型的使用体验，同时避免了基于 ASR 解决方案的繁琐流程以及可能引入的错误。
2023-07-31,devlooper,https://github.com/modal-labs/devlooper,315,"🔠 🔨 ""Python""",A program synthesis agent that autonomously fixes its output by running tests!
2023-07-31,LLPhant,https://github.com/theodo-group/LLPhant,181,"🔠 🔨 ""PHP""",LLPhant - A comprehensive PHP Generative AI Framework using OpenAI GPT 4. Inspired by Langchain and LLamaIndex
2023-07-31,Jlama,https://github.com/tjake/Jlama,120,🔠 💡,Jlama is a pure Java implementation of a LLM inference engine.
2023-07-30,Chinese-LLaVA,https://github.com/LinkSoul-AI/Chinese-LLaVA,157,"🔠 🖼️ 🔨 💰 🀄 ""Python""",支持中英文双语视觉-文本对话的开源可商用多模态模型。
2023-07-30,OpenLLaMA2,https://github.com/OpenLLMAI/OpenLLaMA2,95,🔠 2️⃣ 3️⃣,DeepSpeed+Ray based LLaMA2 RLHF/RS training framework
2023-07-30,LanguageModels.jl,https://github.com/rai-llc/LanguageModels.jl,48,🔠 💡,Load nanoGPT-style transformers in Julia. Code ported from @karpathy's llama2.c
2023-07-29,VALL-E-X,https://github.com/Plachtaa/VALL-E-X,4190,🎵 🚌,An open source implementation of Microsoft's VALL-E X zero-shot TTS model. Demo is available in https://plachtaa.github.io
2023-07-29,text-generation-inference,https://github.com/Preemo-Inc/text-generation-inference,142,"🔠 🔨 ""Python""","A Rust, Python and gRPC server for text generation inference."
2023-07-29,llama2.c-for-dummies,https://github.com/RahulSChand/llama2.c-for-dummies,153,🔠 💡 📝,Step by step explanation/tutorial of llama2.c
2023-07-29,llm-code-interpreter,https://github.com/e2b-dev/llm-code-interpreter,304,🔠 🔌,"Powered by AI Playgrounds by E2B. Code interpreter on steroids for ChatGPT. Run any language, any terminal process, use filesystem freely. All with access to the internet."
2023-07-29,easyllm,https://github.com/philschmid/easyllm,265,"🔠 🔨 ""Jupyter""","EasyLLM is an open source project that provides helpful tools and methods for working with large language models (LLMs), both open source and closed source. "
2023-07-28,sd-webui-deoldify,https://github.com/SpenserCai/sd-webui-deoldify,309,🖼️ 🔌,DeOldify for Stable Diffusion WebUI：This is an extension for StableDiffusion's AUTOMATIC1111 web-ui that allows colorize of old photos and old video. It is based on deoldify.
2023-07-28,Megatron-LLM,https://github.com/epfLLM/Megatron-LLM,169,🔠 2️⃣,distributed trainer for LLMs
2023-07-27,litellm,https://github.com/BerriAI/litellm,845,"🔠 🔨 ""Python""","lightweight package to simplify LLM API calls - Azure, OpenAI, Cohere, Anthropic, Replicate. Manages input/output translation"
2023-07-27,llm-attacks,https://github.com/llm-attacks/llm-attacks,1897,🔠 ❓,Universal and Transferable Attacks on Aligned Language Models
2023-07-27,azurechatgpt,https://github.com/matijagrcic/azurechatgpt,154,🔠 🔨,
2023-07-27,Claude2-PyAPI,https://github.com/wwwzhouhui/Claude2-PyAPI,166,"🔠 🔨 ""Python""",一个使用python 实现Claude2 创建会话、聊天、发送附件、获取历史会话，清理历史记录等功能的api接口，可以对接第三方系统作为二次开发使用。
2023-07-26,WavJourney,https://github.com/Audio-AGI/WavJourney,347,"🔠 🎵 🔨 ""Python""",WavJourney: Compositional Audio Creation with LLMs
2023-07-26,llama2_aided_tesseract,https://github.com/Dicklesworthstone/llama2_aided_tesseract,109,"🔠 🔨 ""Python""",improve the quality of Optical Character Recognition (OCR) outputs using Large Language Models (LLMs)
2023-07-26,DWPose,https://github.com/IDEA-Research/DWPose,1034,🎥 🚌 2️⃣,"""Effective Whole-body Pose Estimation with Two-stages Distillation"" (ICCV 2023, CV4Metaverse Workshop)"
2023-07-26,textbase,https://github.com/cofactoryai/textbase,338,"🔠 🔨 ""Python""",✨ Textbase is a simple framework for building AI chatbots. ✨
2023-07-26,LLM-Reading-List,https://github.com/evanmiller/LLM-Reading-List,580,🔠 📝,"LLM papers I'm reading, mostly on inference and model compression"
2023-07-26,FeishuBot,https://github.com/rawchen/FeishuBot,159,"🔠 🔨 ""Java""",飞书群聊/私聊ChatGPT机器人
2023-07-26,inanimate,https://github.com/rynmurdock/inanimate,36,🖼️ 🔌,Generate images from an initial frame and text
2023-07-25,factool,https://github.com/GAIR-NLP/factool,489,🔠 🔌,FacTool: Factuality Detection in Generative AI
2023-07-25,AI-Code-Convert,https://github.com/JustAIGithub/AI-Code-Convert,252,"🔠 🔨 ""TypeScript""",AI Code Translator \| AI Code Converter \| AI Code Generator，Generate Code or Natural Language To Programming Language
2023-07-25,mentat,https://github.com/biobootloader/mentat,1484,"🔠 🔨 ""Python""",Mentat - The AI Coding Assistant 
2023-07-25,awesome-llm-powered-agent,https://github.com/hyp1231/awesome-llm-powered-agent,274,🔠 📝,Awesome things about LLM-powered agents. Papers / Repos / Blogs / ...
2023-07-25,llama2.go,https://github.com/nikolaydubina/llama2.go,133,🔠 💡,LLaMA-2 in native Go
2023-07-24,sd-webui-faceswaplab,https://github.com/glucauze/sd-webui-faceswaplab,207,🖼️ 🔌," Extended faceswap extension for StableDiffusion web-ui with multiple faceswaps, inpainting, checkpoints, .... "
2023-07-24,web-explorer,https://github.com/langchain-ai/web-explorer,175,"🔠 🔨 ""Python""",
2023-07-24,webarena,https://github.com/web-arena-x/webarena,286,"🔠 🔨 ""Python""","Code repo for ""WebArena: A Realistic Web Environment for Building Autonomous Agents"""
2023-07-23,whisper-burn,https://github.com/Gadersd/whisper-burn,118,🎵 💡,A Rust implementation of OpenAI's Whisper model using the burn framework
2023-07-23,AlignLLMHumanSurvey,https://github.com/GaryYufei/AlignLLMHumanSurvey,348,🔠 📝,Aligning Large Language Models with Human: A Survey
2023-07-23,claude-webapi,https://github.com/all-in-aigc/claude-webapi,77,"🔠 🔨 ""Go""","claude webapi sdk, support claude2"
2023-07-23,generative_agents,https://github.com/joonspk-research/generative_agents,11642,🔠 🔨,Generative Agents: Interactive Simulacra of Human Behavior
2023-07-23,llama2.c,https://github.com/karpathy/llama2.c,11474,🔠 💡,Inference Llama 2 in one file of pure C
2023-07-23,osm-gpt,https://github.com/rowheat02/osm-gpt,105,"🔠 🔨 ""TypeScript""",
2023-07-22,lightllm,https://github.com/ModelTC/lightllm,632,🔠 💡,"LightLLM is a Python-based LLM (Large Language Model) inference and serving framework, notable for its lightweight design, easy scalability, and high-speed performance."
2023-07-22,llama-gpt,https://github.com/getumbrel/llama-gpt,7915,"🔠 🔨 ""TypeScript""","A self-hosted, offline, ChatGPT-like chatbot. Powered by Llama 2. 100% private, with no data leaving your device. New: Code Llama support!"
2023-07-21,LLaMA2-Accessory,https://github.com/Alpha-VLLM/LLaMA2-Accessory,1446,"🔠 🖼️ ⛽ 1️⃣ 2️⃣ 🔨 ""Python""",An Open-source Toolkit for LLM Development
2023-07-21,Subject-Diffusion,https://github.com/OPPO-Mente-Lab/Subject-Diffusion,158,🖼️ ⛽ 🚌 2️⃣,Subject-Diffusion:Open Domain Personalized Text-to-Image Generation without Test-time Fine-tuning
2023-07-21,llamav2-chat,https://github.com/peterw/llamav2-chat,66,"🔠 🔨 ""Python""","This is a simple, interactive chat application powered by Streamlit and the Replicate LlamaV2 model."
2023-07-21,distill-sd,https://github.com/segmind/distill-sd,300,🖼️ 🚌 2️⃣,Segmind Distilled diffusion
2023-07-20,Chinese-Llama-2-7b,https://github.com/LinkSoul-AI/Chinese-Llama-2-7b,1774,🔠 ⛽ 🚌 2️⃣ 💰 🀄,开源社区第一个能下载、能运行的中文 LLaMA2 模型！
2023-07-20,Llama2-Code-Interpreter,https://github.com/SeungyounShin/Llama2-Code-Interpreter,351,"🔠 🔨 ""Python""","Make Llama2 use Code Execution, Debug, Save Code, Reuse it, Access to Internet"
2023-07-20,tiny-stable-diffusion,https://github.com/ThisisBillhe/tiny-stable-diffusion,93,🔠 🖼️ ✂️,Tiny optimized Stable-diffusion that can run on GPUs with just 1GB of VRAM. (Beta)
2023-07-20,llama2-webui,https://github.com/liltom-eth/llama2-webui,1516,🔠 ❓,Run any Llama 2 locally with gradio UI on GPU or CPU from anywhere (Linux/Windows/Mac). Use `llama2-wrapper` as your local llama2 backend for Generative Agents/Apps.  
2023-07-20,TokenFlow,https://github.com/omerbt/TokenFlow,597,🎥 2️⃣,"Official Pytorch Implementation for ""TokenFlow: Consistent Diffusion Features for Consistent Video Editing"" presenting ""TokenFlow"""
2023-07-20,Happy-ChatGPT,https://github.com/vastxie/Happy-ChatGPT,706,"🔠 🔨 ""TypeScript""",ChatGPT 国粹版，和 GPT 一起学习地道的中国话吧
2023-07-19,Llama2-Chinese,https://github.com/FlagAlpha/Llama2-Chinese,4704,🔠 ⛽ 🚌 2️⃣ 💰 🀄,Llama中文社区，最好的中文Llama大模型，完全开源可商用
2023-07-19,RLHF-Label-Tool,https://github.com/SupritYoung/RLHF-Label-Tool,148,🔠 ❓,用于大模型 RLHF 进行人工数据标注排序的工具。A tool for manual response data annotation sorting in RLHF stage.
2023-07-19,chidori,https://github.com/ThousandBirdsInc/chidori,1071,"🔠 🔨 ""Rust""",A reactive runtime for building durable AI agents
2023-07-19,fastllm,https://github.com/jxnl/fastllm,79,"🔠 🔨 ""Python""",A collection of LLM services you can self host via docker or modal labs to support your applications development
2023-07-19,Chinese-LlaMA2,https://github.com/michael-wzhu/Chinese-LlaMA2,699,🔠 🚌 🚕 1️⃣ 2️⃣ 💰 🀄,Repo for adapting Meta LlaMA2 in Chinese! META最新发布的LlaMA2的汉化版！ （完全开源可商用）
2023-07-19,llm-app,https://github.com/pathwaycom/llm-app,179,"🔠 🔨 ""Python""","LLM-App is a library for creating responsive AI applications leveraging OpenAI/Hugging Face APIs to provide responses to user queries based on live data sources. Build your own LLM application in 30 lines of code, no vector database required."
2023-07-19,docker-llama2-chat,https://github.com/soulteary/docker-llama2-chat,374,"🔠 🔨 ""Python""",Play LLaMA2 (official / 中文版 / INT4 / llama2.cpp) Together! ONLY 3 STEPS! ( non GPU / 5GB vRAM / 8~14GB vRAM)
2023-07-19,bingo,https://github.com/weaigc/bingo,373,"🔠 🔨 ""TypeScript""",Bingo，一个让你呼吸顺畅 New Bing。
2023-07-19,Firefly-LLaMA2-Chinese,https://github.com/yangjianxin1/Firefly-LLaMA2-Chinese,114,🔠 🚌 🚕 1️⃣ 2️⃣ 🀄,中文LLaMA-2大模型，兼容对中文大模型进行增量预训练
2023-07-18,llama-2-jax,https://github.com/ayaka14732/llama-2-jax,113,🔠 ❓,JAX implementation of the Llama 2 model
2023-07-18,sd-webui-animatediff,https://github.com/continue-revolution/sd-webui-animatediff,433,🖼️ 🔌,AnimateDiff for AUTOMATIC1111 Stable Diffusion WebUI
2023-07-18,LLM-QAT,https://github.com/facebookresearch/LLM-QAT,96,🔠 ✂️,"Code repo for the paper ""LLM-QAT Data-Free Quantization Aware Training for Large Language Models"""
